"Condition","Line","EvoTime","Replicate","Count","G1Peak","G1Peak_anc","G1Peak_diff","G1_mean","G1_mean_anc","G1_sd","G1_sd_anc","t_pval","cohend_d","cohend_mag","Ploidy_change"
"PA",2,"t1000","anc",17890,4.47151195175608,4.47151195175608,0,4.45233614602039,4.45233614602039,0.842986180121151,0.842986180121151,1,0,"negligible",NA
"PA",2,"t1000","A",26556,3.70303421758778,4.47151195175608,-0.7684777341683,3.73200015520808,4.45233614602039,0.727936364185403,0.842986180121151,0,-1.01172273389752,"large","down"
"PA",2,"t1000","B",21564,4.04650042334822,4.47151195175608,-0.42501152840786,4.06829967414241,4.45233614602039,0.632625609749179,0.842986180121151,4.1894230695779e-253,-0.528139661160292,"medium","small change"
"PA",2,"t1000","C",12769,4.19171036739876,4.47151195175608,-0.279801584357315,4.24963814118519,4.45233614602039,0.686180546493306,0.842986180121151,3.35380945243172e-56,-0.254480755642742,"small","small change"
"PA",3,"t1000","anc",16959,3.83178784256044,3.83178784256044,0,3.86401860167611,3.86401860167611,0.569326041299673,0.569326041299673,1,0,"negligible",NA
"PA",3,"t1000","A",20427,4.07272416899985,3.83178784256044,0.240936326439408,4.13882714177857,3.86401860167611,0.659907127965104,0.569326041299673,1.16606788393205e-197,0.455778670263549,"small","small change"
"PA",3,"t1000","B",16429,3.39428939863647,3.83178784256044,-0.437498443923965,3.41855402190579,3.86401860167611,0.455173937377034,0.569326041299673,0,-0.879546389437996,"large","down"
"PA",3,"t1000","C",26309,3.87539288844697,3.83178784256044,0.0436050458865305,3.89785885981377,3.86401860167611,0.645136997286519,0.569326041299673,5.04725658943334e-05,0.0562684106917649,"negligible","small change"
"PA",4,"t1000","anc",19808,4.39984724172623,4.39984724172623,0,4.52317605730394,4.52317605730394,0.74689439113975,0.74689439113975,1,0,"negligible",NA
"PA",4,"t1000","A",24199,4.32892609042298,4.39984724172623,-0.0709211513032493,4.33490350062438,4.52317605730394,0.603030138307052,0.74689439113975,2.04735738152654e-99,-0.286026983368946,"small","small change"
"PA",4,"t1000","B",15767,4.45144545624904,4.39984724172623,0.0515982145228087,4.52799113839885,4.52317605730394,0.682657004985514,0.74689439113975,0.842592195095857,-0.00304399925234771,"negligible","small change"
"PA",4,"t1000","C",33309,4.67065366126471,4.39984724172623,0.270806419538483,4.6939367327394,4.52317605730394,0.702246450444387,0.74689439113975,2.04594286700082e-89,0.24781615510969,"small","small change"
"PA",5,"t1000","anc",3209,4.14320484133004,4.14320484133004,0,4.17960820198044,4.17960820198044,0.735161094479138,0.735161094479138,1,0,"negligible",NA
"PA",5,"t1000","A",13025,4.33993785242176,4.14320484133004,0.196733011091711,4.4420458024928,4.17960820198044,0.912539345392019,0.735161094479138,6.70096109974068e-29,0.291971088650027,"small","small change"
"PA",5,"t1000","B",14948,3.5587671912694,4.14320484133004,-0.584437650060648,3.42297616999091,4.17960820198044,0.788755590947085,0.735161094479138,5.22213582819282e-252,-1.03326966993868,"large","down"
"PA",5,"t1000","C",15361,3.21585422153296,4.14320484133004,-0.92735061979708,3.19239213506083,4.17960820198044,0.610550991649371,0.735161094479138,0,-1.60435650236563,"large","down"
"PA",NA,"4N","anc",13625,3.73483928958341,3.73483928958341,0,3.77136379244169,3.77136379244169,0.348738371156926,0.348738371156926,1,0,"negligible",NA
"PA",NA,"4N","A",6833,3.46226446599379,3.73483928958341,-0.272574823589621,3.47062211341245,3.77136379244169,0.427697149835598,0.348738371156926,1.18979894672596e-314,-0.815556681092886,"large","down"
"PA",NA,"4N","B",5361,3.15061367034482,3.73483928958341,-0.584225619238589,3.22234218514976,3.77136379244169,0.399861010134497,0.348738371156926,0,-1.53769866012509,"large","down"
"PA",NA,"4N","C",9220,3.69438360351317,3.73483928958341,-0.0404556860702381,3.68764836820317,3.77136379244169,0.614939011716749,0.348738371156926,2.17869305166743e-22,-0.178767842671597,"negligible","small change"
