"Condition","Line","EvoTime","Area","Major","Minor","AR","Volume"
"PM",1,"t200",33.94,7.731,5.589,1.383,126.445248657029
"PM",1,"t200",45.278,8.898,6.479,1.373,195.572138048693
"PM",1,"t200",24.43,6.415,4.849,1.323,78.9768215199306
"PM",1,"t200",43.883,9.78,5.713,1.712,167.134430249151
"PM",1,"t200",50.495,8.974,7.164,1.253,241.15476180868
"PM",1,"t200",60.684,10.587,7.298,1.451,295.242757881975
"PM",1,"t200",28.621,6.733,5.412,1.244,103.257786888285
"PM",1,"t200",38.622,9.24,5.322,1.736,137.031475468578
"PM",1,"t200",44.428,8.808,6.422,1.372,190.202635670079
"PM",1,"t200",20.65,5.754,4.57,1.259,62.9217626261082
"PM",1,"t200",20.223,5.738,4.487,1.279,60.4882897329056
"PM",1,"t200",63.073,9.653,8.319,1.16,349.786607291275
"PM",1,"t200",38.537,7.627,6.434,1.185,165.315845195845
"PM",1,"t200",50.025,9.409,6.769,1.39,225.730955043851
"PM",1,"t200",30.299,7.397,5.215,1.418,105.332615090297
"PM",1,"t200",26.06,6.363,5.214,1.22,90.573802163824
"PM",1,"t200",61.058,9.791,7.94,1.233,323.196521373304
"PM",1,"t200",12.894,4.263,3.851,1.107,33.102515089387
"PM",1,"t200",49.34,9.705,6.473,1.499,212.914567216327
"PM",1,"t200",46.112,8.986,6.534,1.375,200.873800693332
"PM",1,"t200",46.015,8.736,6.707,1.303,205.763273422751
"PM",1,"t200",49.153,8.825,7.092,1.244,232.407848486633
"PM",1,"t200",48.998,9.45,6.602,1.431,215.665894399405
"PM",1,"t200",31.299,8.021,4.969,1.614,103.69674687947
"PM",1,"t200",49.314,9.277,6.768,1.371,222.498393176223
"PM",1,"t200",57.439,8.69,8.416,1.033,322.277400815951
"PM",1,"t200",31.31,6.988,5.705,1.225,119.086578086298
"PM",1,"t200",62.785,9.541,8.379,1.139,350.733217249302
"PM",1,"t200",47.983,8.389,7.282,1.152,232.921815158005
"PM",1,"t200",48.33,8.821,6.976,1.265,224.765364156352
"PM",1,"t200",34.228,7.61,5.727,1.329,130.688581852531
"PM",1,"t200",59.262,10.143,7.439,1.364,293.896331565664
"PM",1,"t200",59.77,10.369,7.339,1.413,292.421480916312
"PM",1,"t200",31.86,8.751,4.635,1.888,98.436413766955
"PM",1,"t200",53.692,9.636,7.095,1.358,253.98040607297
"PM",1,"t200",52.045,10.463,6.333,1.652,219.722141756279
"PM",1,"t200",55.712,9.753,7.274,1.341,270.198814963416
"PM",1,"t200",12.113,4.089,3.772,1.084,30.462048201674
