"Condition","Line","EvoTime","Replicate","ColonyMorph","Chr","CCN","StrainBackground","StrainBackground_CCN","StrainBackground_dCCN","StrainBackground_dCCN_label"
"PA",4,"t600","rep3","S","XII",5,"PA_4_t600",4,1,NA
"PA",4,"t600","rep3","S","XIII",5,"PA_4_t600",4,1,NA
"PA",4,"t600","rep3","S","XIV",6,"PA_4_t600",8,-2,NA
"PA",4,"t600","rep3","S","XV",4,"PA_4_t600",4,0,NA
"PA",4,"t600","rep3","S","XVI",5,"PA_4_t600",4,1,NA
"PA",4,"t1000","rep1","D","I",3,"PA_4_t1000",3,0,NA
"PA",4,"t1000","rep1","D","II",6,"PA_4_t1000",6,0,NA
"PA",4,"t1000","rep1","D","III",5,"PA_4_t1000",5,0,NA
"PA",4,"t1000","rep1","D","IV",4,"PA_4_t1000",4,0,NA
"PA",4,"t1000","rep1","D","V",4,"PA_4_t1000",4,0,NA
"PA",4,"t1000","rep1","D","VI",4,"PA_4_t1000",4,0,NA
"PA",4,"t1000","rep1","D","VII",5,"PA_4_t1000",5,0,NA
"PA",4,"t1000","rep1","D","VIII",5,"PA_4_t1000",5,0,NA
"PA",4,"t1000","rep1","D","IX",6,"PA_4_t1000",6,0,NA
"PA",4,"t1000","rep1","D","X",5,"PA_4_t1000",5,0,NA
"PA",4,"t1000","rep1","D","XI",5,"PA_4_t1000",5,0,NA
"PA",4,"t1000","rep1","D","XII",4,"PA_4_t1000",4,0,NA
"PA",4,"t1000","rep1","D","XIII",4,"PA_4_t1000",4,0,NA
"PA",4,"t1000","rep1","D","XIV",8,"PA_4_t1000",8,0,NA
"PA",4,"t1000","rep1","D","XV",4,"PA_4_t1000",4,0,NA
"PA",4,"t1000","rep1","D","XVI",4,"PA_4_t1000",4,0,NA
"PA",4,"t1000","rep1","S","I",3,"PA_4_t1000",3,0,NA
"PA",4,"t1000","rep1","S","II",6,"PA_4_t1000",6,0,NA
"PA",4,"t1000","rep1","S","III",5,"PA_4_t1000",5,0,NA
"PA",4,"t1000","rep1","S","IV",4,"PA_4_t1000",4,0,NA
"PA",4,"t1000","rep1","S","V",4,"PA_4_t1000",4,0,NA
"PA",4,"t1000","rep1","S","VI",4,"PA_4_t1000",4,0,NA
"PA",4,"t1000","rep1","S","VII",5,"PA_4_t1000",5,0,NA
"PA",4,"t1000","rep1","S","VIII",4,"PA_4_t1000",5,-1,NA
"PA",4,"t1000","rep1","S","IX",6,"PA_4_t1000",6,0,NA
"PA",4,"t1000","rep1","S","X",5,"PA_4_t1000",5,0,NA
"PA",4,"t1000","rep1","S","XI",5,"PA_4_t1000",5,0,NA
"PA",4,"t1000","rep1","S","XII",4,"PA_4_t1000",4,0,NA
