"Condition","Line","EvoTime","ColonyMorph","Replicate","Area","Radius","Volume"
"PA",2,"t1000","S","rep1",50098.741,126.281132975838,8435367.6988574
"PA",2,"t1000","S","rep1",11537.486,60.6011209096587,932246.112105993
"PA",2,"t1000","S","rep1",28776.291,95.706728671508,3672112.89987914
"PA",2,"t1000","S","rep1",16263.497,71.9502041624652,1560215.90606085
"PA",2,"t1000","S","rep1",30394.487,98.3608951646167,3986171.93251907
"PA",2,"t1000","S","rep1",12790.856,63.8079612395919,1088211.25849227
"PA",2,"t1000","S","rep1",31536.528,100.19175933335,4212933.63144727
"PA",2,"t1000","S","rep1",24327.297,87.9978359917406,2854332.65537115
"PA",2,"t1000","S","rep1",28640.919,95.4813472207487,3646231.37568045
"PA",2,"t1000","S","rep1",18280.492,76.2814612334065,1859283.52243413
"PA",2,"t1000","S","rep1",13117.004,64.6163450708281,1130097.14234591
"PA",2,"t1000","S","rep1",15885.604,71.1093861680775,1506154.06579888
"PA",2,"t1000","S","rep1",20775.211,81.3200777720621,2252589.03233467
"PA",2,"t1000","S","rep1",29352.277,96.6598155962709,3782914.24286755
"PA",2,"t1000","S","rep1",18075.082,75.8516795739071,1828033.77084813
"PA",2,"t1000","S","rep1",13500.647,65.5544766585588,1180037.13151592
"PA",2,"t1000","S","rep1",17112.84,73.8050550618413,1684018.79795264
"PA",2,"t1000","S","rep1",27300.785,93.2207582359108,3393333.17084744
"PA",2,"t1000","S","rep1",47373.523,122.798455667224,7756527.28522096
"PA",2,"t1000","S","rep1",18437.817,76.6090035880089,1883337.05161074
"PA",2,"t1000","S","rep1",39213.55,111.723142801133,5841414.72851917
"PA",2,"t1000","S","rep1",25454.181,90.0128738404213,3054938.64408567
"PA",2,"t1000","S","rep1",102302.286,180.454506768331,24614544.748537
"PA",2,"t1000","S","rep1",18244.428,76.206179540562,1853784.20771047
"PA",2,"t1000","S","rep1",41626.21,115.108792745657,6388723.70623625
"PA",2,"t1000","S","rep1",21351.197,82.4396572467262,2346913.81664977
"PA",2,"t1000","S","rep1",47280.487,122.67781558083,7733689.15301045
"PA",2,"t1000","S","rep1",21629.782,82.9757401087824,2392996.22645549
"PA",2,"t1000","S","rep1",10756.613,58.5144107015792,839222.494453261
"PA",2,"t1000","S","rep1",31015.423,99.3605342430893,4108945.33207387
"PA",2,"t1000","S","rep1",8636.651,52.4321599480617,603784.355530116
"PA",2,"t1000","S","rep1",52943.128,129.816489892054,9163854.72115432
